dataset_name,embed_size,n_layers,batch_size,decay,epochs,eval_epoch,learning_rate,top_k,create_time,result,eval_ndcg,eval_map,eval_precision,eval_recall,score
1m,1024,2,4096,0.1,40,-1,0.0025,5,2024-03-28_12-10-08,successful,0.0553952701893902,0.0111329349903539,0.0520529801324503,0.0203450191339645,
1m,1024,2,4096,0.001,40,-1,0.01,5,2024-03-28_12-16-41,successful,0.067348314292184,0.0170984669910754,0.0604635761589404,0.031855590126422,
1m,1024,2,4096,0.1,40,-1,0.01,5,2024-03-28_12-23-15,successful,0.0556254386918861,0.0112622549176211,0.0520860927152317,0.0203473186188798,
1m,1024,2,4096,0.001,40,-1,0.1,5,2024-03-28_12-29-49,successful,0.0425603987411661,0.0092695984171233,0.0399668874172185,0.018626268699408,
1m,1024,2,4096,0.1,40,-1,0.1,5,2024-03-28_12-36-23,successful,0.0559847419368623,0.0112284688498823,0.0529139072847682,0.0206632517617284,
1m,1024,2,10000,0.001,40,-1,0.0025,5,2024-03-28_12-42-57,successful,0.0685108916984303,0.017528224809997,0.0621854304635761,0.0331949956687699,
1m,1024,2,10000,0.1,40,-1,0.0025,5,2024-03-28_12-46-55,successful,0.0556198667751809,0.0113145782717455,0.0517880794701986,0.0199800654717211,
1m,1024,2,10000,0.001,40,-1,0.01,5,2024-03-28_12-50-51,successful,0.0672564862748327,0.017383401183539,0.0604635761589404,0.031414752518882,
1m,1024,2,10000,0.1,40,-1,0.01,5,2024-03-28_12-54-49,successful,0.0561102678962516,0.0114398265067909,0.0525165562913907,0.020635292308009,
1m,1024,2,10000,0.001,40,-1,0.1,5,2024-03-28_12-58-46,successful,0.0654654055678297,0.0165122883408606,0.059933774834437,0.0309914769097129,
1m,1024,2,10000,0.1,40,-1,0.1,5,2024-03-28_13-02-43,successful,0.0561097501150885,0.0114310766738761,0.0525827814569536,0.0206532459125088,
1m,1024,2,50000,0.001,40,-1,0.0025,5,2024-03-28_13-06-40,successful,0.068903202032075,0.0172033059245168,0.0623178807947019,0.0315356843180186,
1m,1024,2,50000,0.1,40,-1,0.0025,5,2024-03-28_13-09-40,successful,0.0556881097765816,0.0113746434890036,0.0517218543046357,0.0202597245777519,
1m,1024,2,50000,0.001,40,-1,0.01,5,2024-03-28_13-12-39,successful,0.0675477352692701,0.0168923179488929,0.0614569536423841,0.032413163620728,
1m,1024,2,50000,0.1,40,-1,0.01,5,2024-03-28_13-15-39,successful,0.0552470186994458,0.0110845460835441,0.0518543046357615,0.0202338805528687,
1m,1024,2,50000,0.001,40,-1,0.1,5,2024-03-28_13-18-39,successful,0.0638217382370051,0.0160620062100719,0.0586754966887417,0.0311078595415446,
1m,1024,2,50000,0.1,40,-1,0.1,5,2024-03-28_13-21-38,successful,0.055837679267322,0.0113230588663588,0.0521192052980132,0.0203198049339625,
1m,1024,3,4096,0.001,40,-1,0.0025,5,2024-03-28_13-24-38,successful,0.0701806483659786,0.0175175497271494,0.0642715231788079,0.0324135820428075,
1m,1024,3,4096,0.1,40,-1,0.0025,5,2024-03-28_13-33-16,successful,0.0562432202124603,0.0114796784063493,0.0524172185430463,0.0205969396990773,
1m,1024,3,4096,0.001,40,-1,0.01,5,2024-03-28_13-41-55,successful,0.0708322563247317,0.0175138757129287,0.0648013245033112,0.0326748026054295,
1m,1024,3,4096,0.1,40,-1,0.01,5,2024-03-28_13-50-36,successful,0.0562153759262095,0.0114743834322678,0.0523841059602648,0.02057640021018,
1m,1024,3,4096,0.001,40,-1,0.1,5,2024-03-28_13-59-21,successful,0.0661686022313893,0.0159202089134023,0.0596357615894039,0.0293798712356993,
1m,1024,3,4096,0.1,40,-1,0.1,5,2024-03-28_14-08-01,successful,0.0561667489023156,0.0114088782083154,0.0523178807947019,0.020439679244914,
1m,1024,3,10000,0.001,40,-1,0.0025,5,2024-03-28_14-16-38,successful,0.0700727106118132,0.0174506131444874,0.0639735099337748,0.0323709784335584,
1m,1024,3,10000,0.1,40,-1,0.0025,5,2024-03-28_14-21-33,successful,0.0562706773387043,0.0115173408369028,0.0524834437086092,0.0207621679111582,
1m,1024,3,10000,0.001,40,-1,0.01,5,2024-03-28_14-26-37,successful,0.0697343447998537,0.0175246802056917,0.0632450331125827,0.0326849710593824,
1m,1024,3,10000,0.1,40,-1,0.01,5,2024-03-28_14-31-39,successful,0.0562900711274716,0.011517974818521,0.0524834437086092,0.0207480850585711,
1m,1024,3,10000,0.001,40,-1,0.1,5,2024-03-28_14-36-28,successful,0.0646054922788022,0.015833341556561,0.0591390728476821,0.0293211525902041,
1m,1024,3,10000,0.1,40,-1,0.1,5,2024-03-28_14-41-16,successful,0.0563083245591215,0.01148248176576,0.0525165562913907,0.0206421710978466,
1m,1024,3,50000,0.001,40,-1,0.0025,5,2024-03-28_14-46-03,successful,0.0690446589360494,0.0162960774446114,0.0631788079470198,0.0298551678975227,
1m,1024,3,50000,0.1,40,-1,0.0025,5,2024-03-28_14-48-56,successful,0.0561325704961637,0.0114740090711862,0.052251655629139,0.0205623327101027,
1m,1024,3,50000,0.001,40,-1,0.01,5,2024-03-28_14-51-48,successful,0.0697421132834444,0.017251471094728,0.063841059602649,0.0323618607027054,
1m,1024,3,50000,0.1,40,-1,0.01,5,2024-03-28_14-54-41,successful,0.0560215374418664,0.0114006920001953,0.0521523178807947,0.020449256942605,
1m,1024,3,50000,0.001,40,-1,0.1,5,2024-03-28_14-57-34,successful,0.0693513888581551,0.0173566693206507,0.0634437086092715,0.0329015228491984,
1m,1024,3,50000,0.1,40,-1,0.1,5,2024-03-28_15-00-27,successful,0.0562303909814795,0.0115576253284915,0.0521192052980132,0.0204522239312022,
1m,1024,4,4096,0.001,40,-1,0.0025,5,2024-03-28_15-03-20,successful,0.0705180305093454,0.0170715895654166,0.0654635761589404,0.0317659337908137,
1m,1024,4,4096,0.1,40,-1,0.0025,5,2024-03-28_15-13-59,successful,0.0562800714997399,0.0114888417241336,0.0524503311258278,0.0206345533589011,
